slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_name_slug,is_2020
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.97100970,7.45278970,Bern,3004,CH,r,Aare,bern,aare,False
aare_bern_caveltin,Aare_Bern_CaveltiN,46.92357880,7.47331910,Muri bei Bern,3074,CH,r,Aare,muri-bei-bern,aare,False
aare_bern_gerberm,Aare_bern_gerberm,46.98936310,7.45209770,Bern,3004,CH,r,Aare,bern,aare,False
aare_bern_scheurerk,aare_bern_scheurerk,46.97096720,7.45258570,Bern,3004,CH,r,Aare,bern,aare,False
aare_brugg_buchie,Aare_Brugg_BuchiE,47.49485530,8.23655810,Brugg,5200,CH,r,Aare,brugg,aare,False
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.93102010,7.46296050,Bern,3006,CH,r,Aare,bern,aare,False
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.92357190,7.48830110,Belp,3123,CH,r,Aare,belp,aare,False
aare_koniz_hoppej,aare_köniz_hoppej,46.93458850,7.45817030,Köniz,3084,CH,r,Aare,koniz,aare,False
aare_rupperswil_badert,aare_rupperswil_badert,47.41030900,8.11255370,Rupperswil,5102,CH,r,Aare,rupperswil,aare,False
aare_solothurn_nguyena,aare_solothurn_nguyena,47.19774950,7.52422470,Solothurn,4500,CH,r,Aare,solothurn,aare,False
aare_suhrespitz_badert,aare_suhrespitz_badert,47.40566920,8.06601800,Aarau,5032,CH,r,Aare,aarau,aare,False
anarchy-beach,Anarchy Beach,46.44721600,6.85961200,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
arabie,Arabie,46.46209900,6.83497200,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,False
arve_carouge_battistellak,arve_carouge_battistellak,46.17849120,6.15431870,Veyrier,1234,CH,r,Arve,veyrier,arve,False
baby-plage-geneva,Baby Plage Geneva,46.20855800,6.16292300,Genève,1208,CH,l,Lac Léman,geneve,lac-leman,True
bagno-pubblico-ascona,Bagno Pubblico Ascona,46.14756500,8.77914400,Ascona,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True
bain-des-dames,Bain des Dames,46.45050680,6.85809180,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True
baye-de-clarens,Baye de Clarens,46.43978700,6.88890300,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,False
baye-de-montreux-d,Baye de Montreux D,46.43096200,6.90867300,Montreux,1820,CH,l,Lac Léman,montreux,lac-leman,False
baye-de-montreux-g,Baye de Montreux G,46.43083400,6.90877800,Montreux,1820,CH,l,Lac Léman,montreux,lac-leman,True
berlingen-swisslitterreport,Berlingen swisslitterreport,47.67243120,9.01105530,Berlingen,8267,CH,l,Untersee,berlingen,untersee,False
bielersee_vinelz_fankhausers,Bielersee_Vinelz_FankhauserS,47.03839840,7.10831140,Vinelz,3234,CH,l,Bielersee,vinelz,bielersee,True
birskopfli-rusco,Birsköpfli Rusco,47.55774290,7.61729160,Birsfelden,4127,CH,r,Birs,birsfelden,birs,False
birs_basel_grunern,Birs_Basel_GrunerN,47.55112760,7.62219880,Basel,4052,CH,r,Birs,basel,birs,False
birs_basel_laderachs,Birs_basel_lÃ¤derachs,47.54604970,7.62259810,Basel,4052,CH,r,Birs,basel,birs,False
birs_reinach_dinuccin,Birs_Reinach_DiNucciN,47.50368170,7.60700850,Reinach,4153,CH,r,Birs,reinach,birs,False
bodensee_altenrhein_caluoria,bodensee_altenrhein_caluoria,47.48650690,9.54396640,Thal,9422,CH,l,Bodensee,thal,bodensee,False
bodensee_arbon_moslis,Bodensee_Arbon_MosliS,47.52088870,9.43114400,Arbon,9320,CH,l,Bodensee,arbon,bodensee,False
bodensee_horn_huberm,bodensee_horn_huberm,47.49827570,9.45697820,Horn,9326,CH,l,Bodensee,horn,bodensee,False
bodensee_steinach_dolder_a,Bodensee_Steinach_Dolder_A,47.50629920,9.43617140,Steinach,9323,CH,l,Bodensee,steinach,bodensee,False
bodensee_thal_schlachterj_1,bodensee_thal_schlachterj_1,47.48621630,9.54390990,Thal,9422,CH,l,Bodensee,thal,bodensee,False
boiron,Boiron,46.49102970,6.48016180,Tolochenaz,1131,CH,l,Lac Léman,tolochenaz,lac-leman,False
chriesbach_duebendorf_schneidera,chriesbach_duebendorf_schneidera,47.40291950,8.60514580,Dübendorf,8600,CH,r,Chriesbach,dubendorf,chriesbach,False
emme_biberist_jennim,emme_biberist_jennim,47.16922080,7.55899480,Biberist,4562,CH,r,Emme,biberist,emme,False
emme_luterbach_huggenbergerk,emme_luterbach_huggenbergerk,47.21194420,7.57401440,Zuchwil,4528,CH,r,Emme,zuchwil,emme,False
emme_utzenstorf_gruttert,Emme_Utzenstorf_Grüttert,47.12369600,7.53962700,Utzenstorf,3427,CH,r,Emme,utzenstorf,emme,False
evole-plage,Evole plage,46.98947700,6.92392000,Neuchâtel,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True
glatt_oerlikon_covosn,glatt_oerlikon_covosN,47.41676910,8.56671200,Opfikon,8152,CH,r,Glatt,opfikon,glatt,False
goldach_goldach_schlachterj,goldach_goldach_schlachterj,47.47391110,9.45930940,Goldach,9403,CH,r,Goldach,goldach,goldach,False
grand-clos,Grand Clos,46.38774600,6.84368600,Saint Gingolph,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True
greifensee_fallanden_meistery,greifensee_fällanden_meistery,47.36093810,8.65372280,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
greifensee_fallanden_simmenc,greifensee_fällanden_simmenc,47.35971410,8.65484330,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
